Date,Close
2025-08-29,6460.259765625
2025-09-02,6415.5400390625
2025-09-03,6448.259765625
2025-09-04,6502.080078125
2025-09-05,6481.5
2025-09-08,6495.14990234375
2025-09-09,6512.60986328125
2025-09-10,6532.0400390625
2025-09-11,6587.47021484375
2025-09-12,6584.2900390625
2025-09-15,6615.27978515625
2025-09-16,6606.759765625
2025-09-17,6600.35009765625
2025-09-18,6631.9599609375
2025-09-19,6664.35986328125
2025-09-22,6693.75
2025-09-23,6656.919921875
2025-09-24,6637.97021484375
2025-09-25,6604.72021484375
2025-09-26,6643.7001953125
2025-09-29,6661.2099609375
2025-09-30,6688.4599609375
2025-10-01,6711.2001953125
2025-10-02,6715.35009765625
2025-10-03,6715.7900390625
2025-10-06,6740.27978515625
2025-10-07,6714.58984375
2025-10-08,6753.72021484375
2025-10-09,6735.10986328125
2025-10-10,6552.509765625
2025-10-13,6654.72021484375
2025-10-14,6644.31005859375
2025-10-15,6671.06005859375
2025-10-16,6629.06982421875
2025-10-17,6664.009765625
2025-10-20,6735.1298828125
2025-10-21,6735.35009765625
2025-10-22,6699.39990234375
2025-10-23,6738.43994140625
2025-10-24,6791.68994140625
2025-10-27,6875.16015625
2025-10-28,6890.89013671875
2025-10-29,6890.58984375
2025-10-30,6822.33984375
2025-10-31,6840.2001953125
2025-11-03,6851.97021484375
2025-11-04,6771.5498046875
2025-11-05,6796.2900390625
2025-11-06,6720.31982421875
2025-11-07,6728.7998046875
2025-11-10,6832.43017578125
2025-11-11,6846.60986328125
2025-11-12,6850.919921875
2025-11-13,6737.490234375
2025-11-14,6734.10986328125
2025-11-17,6672.41015625
2025-11-18,6617.31982421875
2025-11-19,6642.16015625
2025-11-20,6538.759765625
2025-11-21,6602.990234375
2025-11-24,6705.1201171875
2025-11-25,6765.8798828125
2025-11-26,6812.60986328125
2025-11-28,6849.08984375
2025-12-01,6812.6298828125
2025-12-02,6829.3701171875
2025-12-03,6849.72021484375
2025-12-04,6857.1201171875
2025-12-05,6870.39990234375
2025-12-08,6846.509765625
2025-12-09,6840.509765625
2025-12-10,6886.68017578125
2025-12-11,6901.0
2025-12-12,6827.41015625
2025-12-15,6816.509765625
2025-12-16,6800.259765625
2025-12-17,6721.43017578125
2025-12-18,6774.759765625
2025-12-19,6834.5
2025-12-22,6878.490234375
2025-12-23,6909.7900390625
2025-12-24,6932.0498046875
2025-12-26,6929.93994140625
2025-12-29,6905.740234375
2025-12-30,6896.240234375
2025-12-31,6845.5
2026-01-02,6858.47021484375
2026-01-05,6902.0498046875
2026-01-06,6944.81982421875
2026-01-07,6920.93017578125
2026-01-08,6921.4599609375
2026-01-09,6966.27978515625
2026-01-12,6977.27001953125
2026-01-13,6963.740234375
2026-01-14,6926.60009765625
2026-01-15,6944.47021484375
2026-01-16,6940.009765625
2026-01-20,6796.85986328125
2026-01-21,6875.6201171875
2026-01-22,6913.35009765625
2026-01-23,6915.60986328125
2026-01-26,6950.22998046875
2026-01-27,6978.60009765625
2026-01-28,6978.02978515625
2026-01-29,6969.009765625
2026-01-30,6939.02978515625
2026-02-02,6976.43994140625
2026-02-03,6917.81005859375
2026-02-04,6882.72021484375
2026-02-05,6798.39990234375
2026-02-06,6932.2998046875
2026-02-09,6964.81982421875
2026-02-10,6941.81005859375
2026-02-11,6941.47021484375
2026-02-12,6832.759765625
2026-02-13,6836.169921875
2026-02-17,6843.22021484375
2026-02-18,6881.31005859375
2026-02-19,6861.89013671875
2026-02-20,6909.509765625
2026-02-23,6837.75
2026-02-24,6890.06982421875
2026-02-25,6946.1298828125
2026-02-26,6908.85986328125
2026-02-27,6878.8798828125
2026-03-02,6881.6201171875
2026-03-03,6816.6298828125
2026-03-04,6869.5
2026-03-05,6830.7099609375
2026-03-06,6740.02001953125
2026-03-09,6795.990234375
2026-03-10,6781.47998046875
2026-03-11,6775.7998046875
2026-03-12,6672.6201171875
2026-03-13,6632.18994140625
2026-03-16,6699.3798828125
2026-03-17,6716.08984375
2026-03-18,6624.7001953125
2026-03-19,6606.490234375
2026-03-20,6506.47998046875
2026-03-23,6581.0
2026-03-24,6556.3701171875
2026-03-25,6591.89990234375
2026-03-26,6477.16015625
2026-03-27,6368.85009765625
2026-03-30,6343.72021484375
2026-03-31,6528.52001953125
2026-04-01,6575.31982421875
2026-04-02,6582.68994140625
2026-04-06,6611.830078125
2026-04-07,6616.85009765625
2026-04-08,6782.81005859375
2026-04-09,6824.66015625
2026-04-10,6816.89013671875
2026-04-13,6886.240234375
2026-04-14,6967.3798828125
2026-04-15,7022.9501953125
2026-04-16,7041.27978515625
2026-04-17,7126.06005859375
2026-04-20,7109.14013671875
2026-04-21,7064.009765625
2026-04-22,7137.89990234375
2026-04-23,7108.39990234375
2026-04-24,7165.080078125
2026-04-27,7173.91015625
2026-04-28,7138.7998046875
2026-04-29,7135.9501953125
2026-04-30,7209.009765625
2026-05-01,7230.1201171875
2026-05-04,7200.75
2026-05-05,7259.22021484375
2026-05-06,7365.1201171875
2026-05-07,7337.10986328125
2026-05-08,7398.93017578125
2026-05-11,7412.83984375
2026-05-12,7400.9599609375
2026-05-13,7444.25
2026-05-14,7501.240234375
2026-05-15,7408.5
2026-05-18,7403.0498046875
2026-05-19,7353.60986328125
2026-05-20,7432.97021484375
2026-05-21,7445.72021484375
2026-05-22,7473.47021484375
2026-05-26,7519.1201171875
2026-05-27,7520.35986328125
2026-05-28,7563.6298828125
2026-05-29,7580.06005859375
2026-06-01,7599.9599609375
2026-06-02,7609.77978515625
2026-06-03,7553.68017578125
2026-06-04,7584.31005859375
2026-06-05,7383.740234375
2026-06-08,7405.72998046875
2026-06-09,7386.64990234375
2026-06-10,7266.990234375
2026-06-11,7394.2998046875
2026-06-12,7431.4599609375
2026-06-15,7554.2900390625
2026-06-16,7511.35009765625
2026-06-17,7420.10009765625
2026-06-18,7500.580078125
2026-06-22,7472.7900390625
2026-06-23,7365.4599609375
2026-06-24,7358.22021484375
2026-06-25,7357.490234375
2026-06-26,7354.02001953125
2026-06-29,7440.43017578125
2026-06-30,7499.35986328125
2026-07-01,7483.22998046875
2026-07-02,7483.240234375
2026-07-06,7537.43017578125
